id,description,category
1,Vote by the best logo,art and entertainment
2,CATS CATS CATS,pets
4,quality of cat,pets
6,Cutest dog,pets
7,Best CIS professor,travel
9,Most enjoy spending time with students from which school?,education
10,Favorite college w/ heavy sports culture,education
11,Favorite phone,technology and computing
12,best casual outfit for a date,style and fashion
14,Which is the better designed marketing poster?,business and industrial
15,Which rowing picture is coolest?,sports
16,Which cookie looks the best?,food and drink
17,What is Jennifer Aniston's best look?,art and entertainment
19,What is the healthiest?,food and drink
20,Who is your favorite Friends character?,hobbies and interests
21,What's the best coffee?,food and drink
22,Which puppy is the cutest?,pets
23,Which is the hottest pic of our hottest prez?,art and entertainment
24,Which school delivers the best quality of education?,education
25,Which lipstick color is the most trendy?,style and fashion
26,Which Penn baseball cap is the coolest?,sports
27,Which Harry Potter book is the best?,art and entertainment
28,Which social media platforms are the most helpful for everyday life?,business and industrial
29,Which Monet is the prettiest?,art and entertainment
30,Which presidential candidate would you most like to see in a dunk tank?,style and fashion
31,sort by how beautiful you think the photo is,hobbies and interests
32,I want my photos to be sorted by most exciting to least exciting,hobbies and interests
33,which is a better background ,technology and computing
